UK SPECTRUM FREQUENCIES BAND USE (1 kHz - 80 GHz) 2019


9 kHz - 148 kHz Licence Exempt, Metal Detectors
5472 MHz - 5588 MHz - Programme Making and Special Events (Fixed Site)
5472 MHz - 5588 MHz - Programme Making and Special Events (Link)
5472 MHz - 5588 MHz - Programme Making and Special Events (Low Power)

5575 MHz - 5765 MHz - Amateur Radio, Amateur Radio Intermediate Licence
5650 MHz - 5680 MHz - Amateur Radio, Amateur Radio Full Licence
5650 MHz - 5680 MHz - Amateur Radio, Amateur Radio Intermediate Licence

5682.5 MHz - 5702.5 MHz - Programme Making and Special Events (Fixed Site)
5682.5 MHz - 5702.5 MHz - Programme Making and Special Events (Link)
5682.5 MHz - 5702.5 MHz - Programme Making and Special Events (Low Power)
5705 MHz - 5725 MHz - Programme Making and Special Events (Fixed Site)
5705 MHz - 5725 MHz - Programme Making and Special Events (Link)
5705 MHz - 5725 MHz - Programme Making and Special Events (Low Power)

5725 MHz - 5850 MHz - Fixed Wireless Access, Fixed Wireless Access (5.8 GHz band)
5725 MHz - 5875 MHz - Licence Exempt, Non-Specific Short Range Device
5725 MHz - 5875 MHz - Licence Exempt, Radio Determination
5725 MHz - 5875 MHz - Licence Exempt, Short Range Indoor Data Links
5725 MHz - 5875 MHz - Licence Exempt, Wireless Video Cameras - Non Broadcasting

5725 MHz - 7075 MHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
5725 MHz - 7075 MHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
5725 MHz - 7075 MHz - Satellite Services, Satellite (Permanent Earth Station)

5732.5 MHz - 5752.5 MHz - Programme Making and Special Events (Fixed Site)
5732.5 MHz - 5752.5 MHz - Programme Making and Special Events (Link)
5732.5 MHz - 5752.5 MHz - Programme Making and Special Events (Low Power)

5755 MHz - 5765 MHz - Amateur Radio, Amateur Radio Full Licence
5755 MHz - 5765 MHz - Amateur Radio, Amateur Radio Intermediate Licence

5770 MHz - 5790 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
5770 MHz - 5790 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
5770 MHz - 5790 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

5795 MHz - 5805 MHz - Licence Exempt, Transport and Traffic Telematics

5795 MHz - 5815 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
5795 MHz - 5815 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
5795 MHz - 5815 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

5805 MHz - 5815 MHz - Licence Exempt, Transport and Traffic Telematics

5820 MHz - 5850 MHz - Amateur Radio, Amateur Radio Full Licence
5820 MHz - 5850 MHz - Amateur Radio, Amateur Radio Intermediate Licence

5850 MHz - 5925 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
5850 MHz - 5925 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
5850 MHz - 5925 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

5875 MHz - 5905 MHz - Licence Exempt, Intelligent Transport Systems (ITS)

5925 MHz - 6425 MHz - Fixed Links, Point-to-Point Fixed Links
5925 MHz - 7075 MHz - Satellite Services, Satellite (Transportable Earth Station) (high power)
5925 MHz - 7075 MHz - Satellite Services, Satellite (Transportable Earth Station) (low power)
5925 MHz - 7075 MHz - Satellite Services, Satellite (Transportable Earth Station) (medium power)
5925 MHz - 6425 MHz - Fixed Links, Point-to-Point Fixed Links
5925 MHz - 7075 MHz - Satellite Services, Satellite (Transportable Earth Station) (high power)
5925 MHz - 7075 MHz - Satellite Services, Satellite (Transportable Earth Station) (low power)
5925 MHz - 7075 MHz - Satellite Services, Satellite (Transportable Earth Station) (medium power)

6425 MHz - 7125 MHz - Fixed Links, Point-to-Point Fixed Links

7110 MHz - 7250 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
7110 MHz - 7250 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
7110 MHz - 7250 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
7300 MHz - 7425 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
7300 MHz - 7425 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
7300 MHz - 7425 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

7425 MHz - 7900 MHz - Fixed Links, Point-to-Point Fixed Links
7750 MHz - 7850 MHz - Spectrum Access, RSA for receive only earth stations (ROES)

8340 MHz - 8360 MHz - Business Radio, Business Radio (Police and Fire)
8400 MHz - 8460 MHz - Business Radio, Business Radio (Police and Fire)

8460 MHz - 8500 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
8460 MHz - 8500 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
8460 MHz - 8500 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

8500 MHz - 10.6 GHz - Licence Exempt, Radar Level Gauges
8500 MHz - 10.6 GHz - Licence Exempt, Radio Determination
8500 MHz - 10.6 GHz - Licence Exempt, Tank Level Probing Radar (TLPR)

9000 MHz - 9200 MHz - Aeronautical, Radar
9000 MHz - 9500 MHz - Maritime Radio, Maritime Navigational Aids and Radar
9200 MHz - 9500 MHz - Maritime Radio, Ship Radio
9300 MHz - 9500 MHz - Aeronautical, Radar
9300 MHz - 9500 MHz - Aeronautical, Aircraft

10 GHz - 10.125 GHz - Amateur Radio, Amateur Radio Foundation Licence
10 GHz - 10.125 GHz - Amateur Radio, Amateur Radio Full Licence
10 GHz - 10.125 GHz - Amateur Radio, Amateur Radio Intermediate Licence

10.125 GHz - 10.225 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band

10.225 GHz - 10.5 GHz - Amateur Radio, Amateur Radio Full Licence
10.225 GHz - 10.5 GHz - Amateur Radio, Amateur Radio Intermediate Licence

10.250 GHz - 10.27 GHz - Business Radio, Business Radio (Police and Fire)

10.300 GHz - 10.36 GHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
10.300 GHz - 10.36 GHz - Programme Making and Special Events, Programme Making and Special Events (Link)
10.300 GHz - 10.36 GHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

10.360 GHz - 10.400 GHz - Business Radio, Business Radio (Police and Fire)
10.400 GHz - 10.460 GHz - Business Radio, Business Radio (Police and Fire)

10.450 GHz - 10.500 GHz - Amateur Radio, Amateur Radio Foundation Licence

10.475 GHz - 10.575 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band

10.575 GHz - 10.600 GHz - Licence Exempt, Radio Determination
10.675 GHz - 10.699 GHz - Licence Exempt, Radio Determination
10.675 GHz - 10.699 GHz - Licence Exempt, Short Range Indoor Data Links

10.680 GHz - 10.700 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

10.700 GHz - 10.85 GHz - Licence Exempt, Radar Level Gauges
10.700 GHz - 10.85 GHz - Technology Development, Radar Level Gauges
10.700 GHz - 11.7 GHz - Licence Exempt, Land Mobile-Satellite Service Stations
10.700 GHz - 11.7 GHz - Fixed Links, Point-to-Point Fixed Links
10.700 GHz - 12.75 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
10.700 GHz - 12.75 GHz - Satellite Services, Satellite (Permanent Earth Station)
11.700 GHz - 12.75 GHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)

12.200 GHz - 12.5 GHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
12.200 GHz - 12.5 GHz - Programme Making and Special Events, Programme Making and Special Events (Link)
12.200 GHz - 12.5 GHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

12.500 GHz - 12.75 GHz - Licence Exempt, Land Mobile-Satellite Service Stations
12.750 GHz - 13.25 GHz - Fixed Links, Point-to-Point Fixed Links
12.750 GHz - 13.25 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
12.750 GHz - 13.25 GHz - Satellite Services, Satellite (Permanent Earth Station)

13.250 GHz - 13.4 GHz - Aeronautical, Aircraft

13.400 GHz - 14 GHz - Licence Exempt, Radio Determination

13.750 GHz - 14.5 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
13.750 GHz - 14.5 GHz - Satellite Services, Satellite (Permanent Earth Station)
13.780 GHz - 14.5 GHz - Satellite Services, Satellite (Transportable Earth Station) (high power)
13.780 GHz - 14.5 GHz - Satellite Services, Satellite (Transportable Earth Station) (low power)
13.780 GHz - 14.5 GHz - Satellite Services, Satellite (Transportable Earth Station) (medium power)

14 GHz - 14.25 GHz - Satellite Services, Satellite (Earth Station Network)

14.25 GHz - 14.50 GHz - Fixed Links, Point-to-Point Fixed Links
14.50 GHz - 15.35 GHz - Fixed Links, Point-to-Point Fixed Links

15.350 GHz - 15.4 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
15.400 GHz - 15.7 GHz - Aeronautical, Aeronautical Radar
15.500 GHz - 15.7 GHz - Aeronautical, Aircraft
17.100 GHz - 17.3 GHz - Licence Exempt, Radio Determination
17.300 GHz - 17.7 GHz - Fixed Links, Point-to-Point Fixed Links
17.300 GHz - 20.2 GHz - Satellite Services, Satellite (Permanent Earth Station)
17.700 GHz - 19.7 GHz - Fixed Links, Point-to-Point Fixed Links
19.700 GHz - 20.2 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)

21.20 GHz - 22 GHz - Fixed Links, Point-to-Point Fixed Links
21.65 GHz - 26.65 GHz - Licence Exempt, Automotive Short Range Radar (SRR)
22 GHz - 22.21 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
22 GHz - 23.6 GHz - Fixed Links, Point-to-Point Fixed Links
22.21 GHz - 22.5 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
22.81 GHz - 22.86 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
23.6 GHz - 24 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

24 GHz - 24.25 GHz - Amateur Radio, Amateur Radio Full Licence
24 GHz - 24.25 GHz - Amateur Radio, Amateur Radio Intermediate Licence

24.05 GHz - 24.15 GHz - Business Radio 	Business Radio (Police and Fire)

24.05 GHz - 24.15 GHz - Licence Exempt, Radio Determination
24.05 GHz - 24.25 GHz - Licence Exempt, Transport and Traffic Telematics

24.05 GHz - 27 GHz - Licence Exempt, Tank Level Probing Radar (TLPR)

24.100 GHz - 24.35 GHz - Licence Exempt, Railway level crossing radar
24.150 GHz - 24.25 GHz - Licence Exempt, Non-Specific Short Range Device
24.150 GHz - 24.25 GHz - Licence Exempt, Radio Determination
24.250 GHz - 24.35 GHz - Licence Exempt, Radio Determination

24.250 GHz - 24.5 GHz - Programme Making and Special Events (Fixed Site)
24.250 GHz - 24.5 GHz - Programme Making and Special Events (Link)
24.250 GHz - 24.5 GHz - Programme Making and Special Events (Low Power)

24.250 GHz - 24.5 GHz - Licence Exempt, Transport and Traffic Telematics
24.250 GHz - 26.65 GHz - Licence Exempt, Automotive Short Range Radar (SRR)
24.300 GHz - 27.7 GHz - Licence Exempt, Radar Leve l Gauges
24.500 GHz - 26.5 GHz - Fixed Links, Point-to-Point Fixed Links

27.5 GHz - 27.8185 GHz - Licence Exempt, HDFSS

27.5 GHz - 27.8185 GHz - Satellite Services, Earth Stations on Mobile Platforms (ESOMPs)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Earth Station Network)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Permanent Earth Station)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Transportable Earth Station) (high power)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Transportable Earth Station) (low power)
27.5 GHz - 27.8185 GHz - Satellite Services, Satellite (Transportable Earth Station) (medium power)

27.8185 GHz - 28.4545 GHz - Satellite Services, Satellite (Permanent Earth Station)
27.8285 GHz - 28.0525 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band

28.0525 GHz - 28.4445 GHz - Fixed Wireless Access, Broadband Fixed Wireless Access (28 GHz - Guernsey)
28.0525 GHz - 28.4445 GHz - Fixed Wireless Access, Broadband Fixed Wireless Access (28 GHz - Isle of Man)
28.0525 GHz - 28.4445 GHz - Fixed Wireless Access, Broadband Fixed Wireless Access (28 GHz - Jersey)
28.0525 GHz - 28.4445 GHz - Fixed Wireless Access, Fixed Wireless Access (28 GHz band)

28.4545 GHz - 28.8265 GHz - Satellite Services, Earth Stations on Mobile Platforms (ESOMPs)

28.4545 GHz - 28.8265 GHz - Licence Exempt, HDFSS

28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Earth Station Network)
28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Permanent Earth Station)
28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Transportable Earth Station) (high power)
28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Transportable Earth Station) (low power)
28.4545 GHz - 28.8265 GHz - Satellite Services, Satellite (Transportable Earth Station) (medium power)
28.8265 GHz - 29.4625 GHz - Satellite Services, Satellite (Permanent Earth Station)

28.8365 GHz - 29.0605 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band

29.0605 GHz - 29.4525 GHz - Fixed Wireless Access, Broadband Fixed Wireless Access (28 GHz - Guernsey)
29.0605 GHz - 29.4525 GHz - Fixed Wireless Access, Broadband Fixed Wireless Access (28 GHz - Isle of Man)
29.0605 GHz - 29.4525 GHz - Fixed Wireless Access, Broadband Fixed Wireless Access (28 GHz - Jersey)
29.0605 GHz - 29.4525 GHz - Fixed Wireless Access, Fixed Wireless Access (28 GHz band)

29.4625 GHz - 29.5 GHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
29.4625 GHz - 30.0 GHz - Satellite Services, Earth Stations on Mobile Platforms (ESOMPs)

29.4625 GHz - 30 GHz - Licence Exempt, HDFSS

29.4625 GHz - 30 GHz - Satellite Services, Satellite (Earth Station Network)
29.4625 GHz - 30 GHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
29.4625 GHz - 30 GHz - Satellite Services, Satellite (Permanent Earth Station)
29.4625 GHz - 30 GHz - Satellite Services, Satellite (Transportable Earth Station) (high power)
29.4625 GHz - 30 GHz - Satellite Services, Satellite (Transportable Earth Station) (low power)
29.4625 GHz - 30 GHz - Satellite Services, Satellite (Transportable Earth Station) (medium power)
29.5000 GHz - 30 GHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)

31 GHz - 31.3 GHz - Fixed Links, Point-to-Point Security CCTV Services

31.3 GHz - 31.5 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

31.5 GHz - 31.8 GHz - Fixed Links, Point-to-Point Security CCTV Services

31.5 GHz - 31.8 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

31.815 GHz - 32.571 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band
32.627 GHz - 33.383 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band

37 GHz - 39.5 GHz - Fixed Links, Point-to-Point Fixed Links

40.5 GHz - 43.5 GHz - Spectrum Access, Spectrum Access 10 - 40 GHz Band
42.5 GHz - 43.5 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

47 GHz - 47.2 GHz - Amateur Radio, Amateur Radio Full Licence
47 GHz - 47.2 GHz - Amateur Radio, Amateur Radio Intermediate Licence

48 GHz - 48.4 GHz - Programme Making and Special Events (Fixed Site)
48 GHz - 48.4 GHz - Programme Making and Special Events (Link)
48 GHz - 48.4 GHz - Programme Making and Special Events (Low Power)

48.94 GHz - 49.04 GHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
49.2 GHz - 50.2 GHz - Fixed Links, Point-to-Point Fixed Links

51.2 GHz - 51.4 GHz - Business Radio, Business Radio (Police and Fire)

51.40 GHz - 52.6 GHz - Fixed Links, Point-to-Point Fixed Links
55.78 GHz - 57 GHz - Fixed Links, Point-to-Point Fixed Links

57 GHz - 64 GHz - Licence Exempt, Fixed Wireless Systems (57.1 - 63.9 GHz)
57 GHz - 64 GHz - Licence Exempt, Non-Specific Short Range Device
57 GHz - 64 GHz - Licence Exempt, Tank Level Probing Radar (TLPR)
57 GHz - 66 GHz - Licence Exempt, Wideband Data Transmission Devices
61 GHz - 61.5 GHz - Licence Exempt, Non-Specific Short Range Device
63 GHz - 64 GHz - Licence Exempt, Transport and Traffic Telematics
64 GHz - 66 GHz - Fixed Links, Self co-ordinated links

71 GHz - 71.125 GHz - Fixed Links, Point-to-Point Fixed Links
71.125 GHz - 73.125 GHz - Fixed Links, Point-to-Point Fixed Links
71.125 GHz - 73.125 GHz - Fixed Links, Self co-ordinated links
73.125 GHz - 73.375 GHz - Fixed Links, Point-to-Point Fixed Links
73.375 GHz - 75.875 GHz - Fixed Links, Self co-ordinated links

75 GHz - 85 GHz - Licence Exempt, Tank Level Probing Radar (TLPR)

75.5 GHz - 81 GHz - Amateur Radio, Amateur Radio Full Licence
75.5 GHz - 81 GHz - Amateur Radio, Amateur Radio Intermediate Licence

76 GHz - 77 GHz - Licence Exempt, Transport and Traffic Telematics
77 GHz - 81 GHz - Licence Exempt, Automotive Short Range Radar (SRR)
77 GHz - 81 GHz - Licence Exempt, Transport and Traffic Telematics

81.125 GHz - 83.125 GHz - Fixed Links, Point-to-Point Fixed Links
81.125 GHz - 83.125 GHz - Fixed Links, Self co-ordinated links
83.375 GHz - 85.875 GHz - Fixed Links, Self co-ordinated links



KimmyJS19   ukscanningdirectory.co.uk
